country,state,latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,local_time
Andorra,Andorra,42.6148017,2.0967819,1,257.02,0.0,2.4,39.7,0.08,0.5,0.62,0.9,2024-12-15 01:32:49
South Africa,Dinga,-23.0448322,30.7144804,1,293.73,0.18,1.04,45.06,2.09,3.65,6.8,0.59,2024-12-15 02:32:49
South Africa,Jimmy Jones,-23.0379481,30.6493787,1,293.73,0.18,1.04,45.06,2.09,3.65,6.8,0.59,2024-12-15 02:32:49
South Africa,Valdezia,-23.1128208,30.1923468,1,263.69,0.13,0.69,40.41,0.67,3.05,6.18,0.32,2024-12-15 02:32:49
South Africa,South Africa,25.213201,55.1832777931663,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
France,France,46.2337295,5.3538775,3,554.09,1.82,31.87,0.36,1.8,33.28,34.7,14.31,2024-12-15 01:32:49
France,France,46.3841042,4.5443539,3,433.92,0.02,14.57,16.63,1.28,27.62,28.62,11.53,2024-12-15 01:32:49
France,France,45.6031355,-0.8478485,2,343.8,0.0,7.11,25.03,0.16,10.36,10.68,0.59,2024-12-15 01:32:49
France,France,43.9896575,0.0576943,1,307.08,0.0,2.79,47.21,0.09,4.38,4.52,0.41,2024-12-15 01:32:49
France,France,44.4325209,0.9806158,2,273.71,0.0,1.37,67.23,0.4,3.38,3.77,0.74,2024-12-15 01:32:49
Libya,Libya,25.22041215,55.170417014628,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Mexico,Mexico City,19.4326296,-99.1331785,3,1001.36,0.64,72.66,11.62,19.31,47.56,62.18,5.26,2024-12-14 18:32:49
Mexico,Mexico,39.1697626,-91.8829484,2,263.69,0.0,5.57,64.37,4.83,2.07,2.55,1.9,2024-12-14 18:32:49
Mexico,Town of Mexico,43.459514,-76.228818,1,243.66,0.0,2.31,55.79,0.75,0.5,0.59,0.2,2024-12-14 19:32:49
Mexico,Mexico,15.0643509,120.720544,2,280.38,0.18,2.72,74.39,1.73,3.68,6.05,1.57,2024-12-15 08:32:49
Mexico,Mexico,44.56112,-70.545959,2,247.0,0.0,1.52,72.96,0.17,0.5,0.53,0.1,2024-12-14 19:32:49
Gabon,Gabon,14.1277147,122.912073,2,206.95,0.01,0.36,63.66,0.27,3.44,5.52,0.05,2024-12-15 08:32:49
Gabon,Gabon (CLER),-3.5562367,17.9635598,1,347.14,0.01,0.17,3.0,0.02,1.78,2.2,0.1,2024-12-15 01:32:49
Gabon,Gabon,9.1296833,18.25915,3,220.3,0.0,0.2,47.92,0.18,31.11,69.1,0.31,2024-12-15 01:32:49
